City Name Fa,City Name En
آبادان,Abadan
آباده,Abadeh
ابیانه,Abyaneh
ابرکوه,
آبگرم,
ابهر,
ایذه,
اراک,Arak
ایرانشهر,Iranshahr
آران و بیدگل,Aran va Bidgol
اردبیل,Ardebil
اردکان,Ardakan
اَردکان,
ارومیه,Urmia
آزادشهر,
ایزدشهر,Izadshahr
اسالم,
آستانه اشرفیه,Astaneh-ye Ashrafiyeh
استهبان,Estahban
اسدآباد,
اسفراین,
اسکو,Osku
یاسوج,Yasuj
اشکذر,Ashkezar
اصفهان,Isfahan
ایلام,Ilam
الیگودرز,Aligudarz
امیدیه,
آمل,Amol
اندیمشک,
اهواز,Ahvaz
بابل,Babol
بابلسر,Babolsar
بادرود,
بیارجمند,
باغ‌ملک,
بافق,Bafq
بانه,Baneh
بجنورد,Bojnord
برازجان,
بیرجند,Birjand
بردسکن,
برزک,Barzok
بروجرد,Borujerd
بروجن,Borujen
بسطام,Bastam
بشرویه,Boshruyeh
بیله‌سوار,
بم,Bam
بناب,Bonab
بندر آستارا,Astara
بندر امام خمینی,Bandar-e Emam Khomeyni
بندر انزلی,Bandar-e Anzali
بندر بوشهر,Bushehr
بندر جاسک,Jask
بندر دیر,
بندر عباس,Bandar Abbas
بندر کنگان,
بندر گناوه,Bandar Ganaveh
بندر لنگه,Bandar Lengeh
بهبهان,
بهشهر,Behshahr
بوکان,Bukan
بویین و میاندشت,
پارسیان,
پاسارگاد,
پاوه,Paveh
تاکستان,Takestan
تالش,Talesh
تبریز,Tabriz
تیران,
تفت,Taft
تفرش,
تکاب,
تنکابن,Tonekabon
تنگستان,
تهران,Tehran
جیرفت,
جزیره هرمز,Hormuz Island
جلفا,Jolfa
جهرم,Jahrom
چابکسر,Chaboksar
چابهار,Chabahar
چالوس,Chalus
چمخاله,Chamkhaleh
خرم‌آباد,Khorramabad
خرمشهر,Khorramshahr
خزر آباد,
خلخال,Khalkhal
خمام,Khomam
خمین,Khomein
خنج,
خوی,Khoy
خوانسار,Khansar
خور,Khur and Biabanak
خوزستان,Khuzestan
داراب,Darab
داران,Daran
دامغان,Damghan
درگهان,Dargahan
دره شهر,
دزفول,Dezful
دلیجان,Delijan
دلند,
دماوند,
دهلران,
دورود,Dorud
رابر,
رامسر,Ramsar
راین,
رشت,Rasht
رضوانشهر,
رضوان‌شهر,Rezvanshahr
رفسنجان,Rafsanjan
رودبار,Rudbar
رودسر,Rodsar
زابل,Zabol
زاهدان,Zahedan
یزد,Yazd
زنجان,Zanjan
ساری,Sari
سامان,
سیاهکل,
ساوه,Saveh
سبزوار,Sabzevar
سپیدان,Sepidan
سراب,Sarab
سیراف,
سیرجان,Sirjan
سریزد,Saryazd
سرعین,Sareyn
سروآباد,
سی‌سخت,Sisakht
سقز,Saqqez
سلمانشهر,Salmanshahr
سمنان,Semnan
سنندج,Sanandij
سه‌قلعه,
سواد کوه,
سوزا,Suza
شاهدیه,
شاهرود,Shahrud
شاهین‌شهر,
شیراز,Shiraz
شیرگاه,Shirgah
شیروان,Shirvan
شفت,
شمشک,Shemshak
شهر بابک,
شهرضا,
شهرکرد,Shahrekord
شهمیرزاد,
شوش,
شوشتر,Shushtar
صومعه سرا,
طالقان,Taleqan
طبس,Tabas
طرقبه,
عباس آباد,Abbasabad
عسلویه,Asaluyeh
عقدا,Aqda
علی‌آباد کتول,Aliabad-e Katul
فارسان,
فاروق,
فراشبند,
فردوس,Ferdows
فریدون‌کنار,Fereydunkenar
فیروزآباد,Firuzabad
فیروزکوه,
فسا,Fasa
فومن,Fuman
قائم‌شهر,Qaem Shahr
قزوین,Qazvin
قشم,Qeshm
قلعه گنج,Qaleh Ganj
قم,Qom
قمصر,Qamsar
کیار,
کازرون,Kazerun
کاشان,Kashan
کاشمر,
کیاشهر,
کبودرآهنگ,Kabudarahang
کرج,Karaj
کردکوی,
کرمان,Kerman
کرمانشاه,Kermanshah
کیش,Kish
کلاردشت,Kelardasht
کلاله,
کلیبر,Kaleybar
کوچصفهان,
کوهپایه,
گالیکش,
گچساران,Gachsaran
گرگان,Gorgan
گلپایگان,Golpayegan
گلمکان,
گناباد,
گنبد کاووس,Gonbad-e Kavus
لار,Lar
لالجین,
لامرد,Lamerd
لاهیجان,Lahijan
لنگرود,Langarud
ماسال,Masal
ماسوله,Masuleh
ماکلوان,
ماکو,Maku
میانه,Mianeh
ماهان,Mahan
ماهشهر,Bandar-e Mahshahr
مبارکه,Mobarakeh
میبد,Meybod
محلات,Mahallat
محمودآباد,Mahmudabad
مراغه,Maragheh
مرزیکلا,
مرند,Marand
مریوان,Marivan
مرودشت,Marvdasht
مشگین شهر,Meshginshahr
مشهد,Mashhad
ملایر,Malayer
ملکان,
میناب,Minab
مینودشت,Minudasht
مهاباد,Mahabad
مهدی‌شهر,Sangesar
مهریز,Mehriz
نیاسر,Neyasar
نائین,Nain
نراق,
نی‌ریز,Neyriz
نیشابور,Nishapur
نطنز,Natanz
نقده,
نور,Noor
نوشهر,Nowshahr
نوکنده,
همدان,Hamadan
ورامین,
ورزنه,Varzaneh
ونک,
