Registered Date,City Name Fa,Sum of New Etl Room Nights
2015-09-23,تهران,1
2015-09-23,شیراز,4
2015-09-23,کیش,3
2015-09-26,تهران,1
2015-09-27,مشهد,9
2015-09-28,اهواز,2
2015-09-28,تبریز,1
2015-09-28,رشت,2
2015-09-28,زنجان,0
2015-09-28,ساری,2
2015-09-28,شیراز,2
2015-09-28,کرمان,1
2015-09-28,کرمانشاه,1
2015-09-28,مشهد,2
2015-09-29,زاهدان,1
2015-10-04,مشهد,6
2015-10-05,تهران,3
2015-10-05,شیراز,2
2015-10-05,کیش,4
2015-10-05,مشهد,0
2015-10-06,کیش,5
2015-10-08,کرمانشاه,4
2015-10-08,کیش,3
2015-10-10,تهران,1
2015-10-10,مشهد,2
2015-10-12,مشهد,0
2015-10-14,بندر عباس,2
2015-10-14,تهران,8
2015-10-17,اهواز,1
2015-10-18,تهران,1
2015-10-19,مشهد,2
2015-10-20,تهران,1
2015-10-20,کیش,3
2015-10-27,تهران,4
2015-10-28,ارومیه,1
2015-10-28,تهران,60
2015-10-28,رشت,2
2015-10-29,تهران,3
2015-10-29,قشم,4
2015-10-29,مشهد,2
2015-11-01,تهران,3
2015-11-01,گرگان,1
2015-11-02,تهران,2
2015-11-02,شیراز,2
2015-11-03,کیش,3
2015-11-03,مشهد,2
2015-11-04,ابیانه,10
2015-11-04,اسکو,2
2015-11-04,کیش,1
2015-11-04,مشهد,3
2015-11-07,تهران,1
2015-11-07,شیراز,2
2015-11-07,مشهد,3
2015-11-08,تهران,1
2015-11-08,کرمانشاه,1
2015-11-08,کیش,2
2015-11-09,تهران,4
2015-11-09,کرمانشاه,1
2015-11-09,مشهد,4
2015-11-10,ابیانه,1
2015-11-10,اردکان,2
2015-11-10,اصفهان,1
2015-11-10,بندر عباس,1
2015-11-10,تهران,22
2015-11-10,یزد,2
2015-11-10,شیراز,1
2015-11-10,قشم,1
2015-11-10,کیش,2
2015-11-10,گرگان,1
2015-11-10,ماهان,1
2015-11-10,مراغه,1
2015-11-10,مشهد,3
2015-11-11,تهران,13
2015-11-11,شیراز,1
2015-11-11,کرمانشاه,1
2015-11-11,کیش,9
2015-11-11,مشهد,2
2015-11-12,تهران,9
2015-11-14,کیش,20
2015-11-14,مشهد,3
2015-11-15,اصفهان,3
2015-11-15,بندر عباس,1
2015-11-15,تهران,10
2015-11-15,مشهد,2
2015-11-16,اصفهان,2
2015-11-16,مشهد,3
2015-11-17,تهران,3
2015-11-17,مشهد,1
2015-11-18,تهران,6
2015-11-18,کرمان,2
2015-11-18,کیش,9
2015-11-19,مشهد,1
2015-11-21,تهران,17
2015-11-21,کرمانشاه,2
2015-11-22,اصفهان,1
2015-11-22,تبریز,1
2015-11-22,تهران,16
2015-11-22,درگهان,1
2015-11-23,تبریز,2
2015-11-23,تهران,4
2015-11-23,قشم,2
2015-11-23,مشهد,7
2015-11-24,تهران,3
2015-11-24,سراب,1
2015-11-24,قشم,4
2015-11-24,قم,1
2015-11-24,کیش,3
2015-11-24,مشهد,2
2015-11-25,اصفهان,2
2015-11-25,تهران,11
2015-11-26,تبریز,2
2015-11-26,تهران,2
2015-11-26,شیراز,3
2015-11-28,تهران,2
2015-11-28,رشت,1
2015-11-29,اصفهان,1
2015-11-29,تهران,3
2015-11-29,کیش,9
2015-11-29,مشهد,24
2015-11-30,تهران,3
2015-11-30,شیراز,3
2015-12-01,اصفهان,2
2015-12-01,تهران,11
2015-12-01,قشم,6
2015-12-01,مشهد,3
2015-12-02,کیش,1
2015-12-03,تهران,4
2015-12-03,کیش,2
2015-12-05,تهران,4
2015-12-05,قزوین,2
2015-12-05,مشهد,1
2015-12-07,شیراز,1
2015-12-07,کیش,4
2015-12-07,مشهد,3
2015-12-08,بندر بوشهر,2
2015-12-08,تهران,11
2015-12-09,ابیانه,1
2015-12-09,اصفهان,1
2015-12-09,رامسر,1
2015-12-09,یزد,2
2015-12-09,ساری,4
2015-12-11,مشهد,4
2015-12-14,کیش,2
2015-12-16,تهران,15
2015-12-16,شاهرود,2
2015-12-16,شیراز,1
2015-12-17,مشهد,4
2015-12-18,اصفهان,1
2015-12-19,اصفهان,4
2015-12-19,تهران,5
2015-12-19,درگهان,3
2015-12-19,یزد,2
2015-12-19,شیراز,2
2015-12-19,قشم,6
2015-12-19,کیش,5
2015-12-19,میبد,5
2015-12-20,اردبیل,2
2015-12-20,اصفهان,1
2015-12-20,بندر عباس,2
2015-12-20,تهران,4
2015-12-20,چابهار,1
2015-12-20,درگهان,3
2015-12-20,یزد,2
2015-12-20,شیراز,1
2015-12-20,قشم,3
2015-12-20,کرج,2
2015-12-20,کیش,15
2015-12-20,میبد,6
2015-12-20,مشهد,4
2015-12-21,تهران,7
2015-12-21,یزد,4
2015-12-21,شیراز,5
2015-12-21,کیش,5
2015-12-21,گرگان,3
2015-12-21,مشهد,6
2015-12-22,اصفهان,7
2015-12-22,تبریز,1
2015-12-22,چالوس,2
2015-12-22,یزد,2
2015-12-22,شیراز,2
2015-12-22,کاشان,2
2015-12-22,کرج,1
2015-12-22,مشهد,8
2015-12-23,تهران,3
2015-12-23,کیش,1
2015-12-23,مشهد,2
2015-12-24,بندر عباس,3
2015-12-24,تهران,2
2015-12-24,سمنان,2
2015-12-24,کرمانشاه,1
2015-12-24,کیش,6
2015-12-25,مشهد,3
2015-12-26,اصفهان,4
2015-12-26,کیش,6
2015-12-26,میبد,1
2015-12-26,مشهد,2
2015-12-27,تهران,5
2015-12-27,کیش,3
2015-12-27,میبد,3
2015-12-27,مشهد,1
2015-12-28,اصفهان,4
2015-12-28,تهران,8
2015-12-28,درگهان,3
2015-12-28,رامسر,2
2015-12-28,رشت,1
2015-12-28,شیراز,1
2015-12-28,کاشان,1
2015-12-28,کیش,3
2015-12-29,اهواز,2
2015-12-29,تهران,5
2015-12-30,تهران,1
2015-12-30,یزد,2
2015-12-30,شمشک,1
2015-12-30,کیش,6
2015-12-31,اصفهان,2
2015-12-31,یزد,2
2015-12-31,شیراز,2
2015-12-31,کاشان,3
2015-12-31,کیش,7
2015-12-31,مشهد,4
2016-01-01,درگهان,2
2016-01-02,تبریز,1
2016-01-02,تهران,3
2016-01-02,شیراز,1
2016-01-02,کیش,6
2016-01-02,مشهد,3
2016-01-03,اهواز,1
2016-01-03,تبریز,1
2016-01-03,تهران,6
2016-01-03,سنندج,1
2016-01-03,شیراز,8
2016-01-03,کیش,15
2016-01-03,گرگان,3
2016-01-03,مشهد,10
2016-01-03,همدان,1
2016-01-04,اصفهان,2
2016-01-04,تهران,5
2016-01-04,یزد,3
2016-01-04,قشم,4
2016-01-04,کیش,10
2016-01-05,تهران,13
2016-01-05,چابهار,2
2016-01-05,شیراز,2
2016-01-05,قشم,3
2016-01-05,قم,1
2016-01-05,کرمانشاه,1
2016-01-05,کیش,11
2016-01-05,میبد,2
2016-01-06,تهران,4
2016-01-06,یزد,2
2016-01-06,شیراز,2
2016-01-06,کیش,3
2016-01-06,میبد,2
2016-01-06,مشهد,4
2016-01-07,تهران,20
2016-01-09,اصفهان,5
2016-01-09,شیراز,1
2016-01-09,قشم,3
2016-01-09,کیش,3
2016-01-10,تهران,4
2016-01-10,کرمانشاه,2
2016-01-10,کیش,2
2016-01-10,میبد,2
2016-01-10,مشهد,5
2016-01-11,اهواز,1
2016-01-11,تهران,13
2016-01-11,یزد,2
2016-01-11,شیراز,1
2016-01-11,قشم,3
2016-01-11,مشهد,2
2016-01-12,اصفهان,11
2016-01-12,اهواز,2
2016-01-12,تهران,20
2016-01-12,رامسر,3
2016-01-12,یزد,1
2016-01-12,شیراز,2
2016-01-12,قشم,2
2016-01-12,کیش,13
2016-01-13,ابیانه,2
2016-01-13,یاسوج,1
2016-01-13,اصفهان,1
2016-01-13,تهران,18
2016-01-13,رشت,10
2016-01-13,کیش,5
2016-01-13,مشهد,2
2016-01-14,اصفهان,2
2016-01-14,تهران,33
2016-01-14,شیراز,9
2016-01-14,قشم,20
2016-01-14,کرمانشاه,2
2016-01-14,کیش,4
2016-01-16,تهران,2
2016-01-16,گرگان,1
2016-01-16,مشهد,2
2016-01-16,همدان,2
2016-01-17,اصفهان,5
2016-01-17,اهواز,1
2016-01-17,بندر عباس,2
2016-01-17,تهران,6
2016-01-17,سنندج,1
2016-01-17,شیراز,5
2016-01-17,کیش,8
2016-01-17,مشهد,4
2016-01-18,اصفهان,13
2016-01-18,تبریز,2
2016-01-18,تهران,29
2016-01-18,شیراز,9
2016-01-18,قشم,3
2016-01-18,کیش,7
2016-01-18,مشهد,2
2016-01-19,تهران,7
2016-01-19,کیش,3
2016-01-20,تهران,11
2016-01-20,چالوس,2
2016-01-20,رامسر,2
2016-01-20,کیش,5
2016-01-21,قشم,3
2016-01-23,کیش,2
2016-01-24,تهران,6
2016-01-24,کیش,19
2016-01-24,مشهد,2
2016-01-25,اصفهان,4
2016-01-25,تهران,12
2016-01-25,مشهد,2
2016-01-26,تهران,6
2016-01-26,مشهد,1
2016-01-27,اصفهان,9
2016-01-27,تهران,11
2016-01-27,یزد,4
2016-01-27,سیرجان,1
2016-01-27,شیراز,11
2016-01-27,کاشان,3
2016-01-27,مشهد,1
2016-01-28,اصفهان,1
2016-01-28,تهران,8
2016-01-28,یزد,2
2016-01-28,شیراز,6
2016-01-30,اصفهان,4
2016-01-30,تهران,6
2016-01-30,کیش,3
2016-01-31,تهران,17
2016-01-31,قم,1
2016-01-31,کیش,4
2016-02-01,تهران,11
2016-02-01,قشم,6
2016-02-01,کیش,7
2016-02-01,مشهد,4
2016-02-02,اهواز,1
2016-02-02,بابلسر,3
2016-02-02,بندر عباس,6
2016-02-02,تبریز,1
2016-02-02,تهران,19
2016-02-02,شیراز,2
2016-02-02,قشم,9
2016-02-02,کیش,5
2016-02-02,مشهد,3
2016-02-03,اردبیل,8
2016-02-03,اهواز,1
2016-02-03,تبریز,2
2016-02-03,شیراز,4
2016-02-03,کیش,9
2016-02-03,مشهد,4
2016-02-04,اصفهان,1
2016-02-04,تهران,2
2016-02-04,قشم,3
2016-02-04,کیش,2
2016-02-04,مشهد,0
2016-02-06,تهران,2
2016-02-06,سنندج,1
2016-02-06,قشم,3
2016-02-06,کرج,1
2016-02-07,تهران,1
2016-02-07,یزد,1
2016-02-07,شیراز,1
2016-02-07,قزوین,1
2016-02-07,کیش,7
2016-02-07,مشهد,5
2016-02-08,اراک,1
2016-02-08,اهواز,4
2016-02-08,بندر عباس,2
2016-02-08,تهران,1
2016-02-08,چالوس,2
2016-02-08,کیش,8
2016-02-09,تهران,5
2016-02-09,چالوس,1
2016-02-09,شیراز,5
2016-02-09,شهرکرد,6
2016-02-09,قشم,1
2016-02-09,کاشان,1
2016-02-09,کرج,6
2016-02-09,کرمانشاه,11
2016-02-09,کیش,8
2016-02-09,گرگان,1
2016-02-09,مشهد,1
2016-02-09,همدان,4
2016-02-10,اصفهان,6
2016-02-10,اهواز,1
2016-02-10,تهران,2
2016-02-10,کیش,5
2016-02-10,مشهد,2
2016-02-13,اراک,1
2016-02-13,تبریز,2
2016-02-13,تهران,22
2016-02-13,قشم,4
2016-02-13,قم,1
2016-02-13,کرج,4
2016-02-13,کرمانشاه,1
2016-02-13,مشهد,5
2016-02-14,اصفهان,1
2016-02-14,تهران,18
2016-02-14,یزد,2
2016-02-14,شیراز,6
2016-02-14,قشم,2
2016-02-14,کیش,4
2016-02-15,ارومیه,1
2016-02-15,اصفهان,2
2016-02-15,بندر عباس,6
2016-02-15,تهران,13
2016-02-15,کرج,2
2016-02-15,کرمان,2
2016-02-15,کیش,2
2016-02-15,مشهد,3
2016-02-16,اصفهان,2
2016-02-16,تهران,11
2016-02-16,قشم,2
2016-02-16,کرج,2
2016-02-16,کرمانشاه,2
2016-02-17,اصفهان,5
2016-02-17,اهواز,2
2016-02-17,تهران,15
2016-02-17,چالوس,2
2016-02-17,شیراز,3
2016-02-17,کاشان,2
2016-02-17,کیش,7
2016-02-17,مشهد,26
2016-02-18,اصفهان,2
2016-02-18,تهران,7
2016-02-18,شیراز,11
2016-02-18,کاشان,1
2016-02-18,کیش,9
2016-02-18,میبد,4
2016-02-18,مشهد,1
2016-02-19,اصفهان,1
2016-02-20,یاسوج,1
2016-02-20,تهران,3
2016-02-20,یزد,4
2016-02-20,قشم,4
2016-02-20,کاشان,1
2016-02-20,کیش,4
2016-02-20,مشهد,10
2016-02-21,اصفهان,1
2016-02-21,تهران,8
2016-02-21,شیراز,1
2016-02-21,کیش,16
2016-02-21,مشهد,12
2016-02-22,آبادان,4
2016-02-22,اصفهان,5
2016-02-22,تهران,17
2016-02-22,شیراز,13
2016-02-22,قشم,1
2016-02-22,قم,4
2016-02-22,کیش,3
2016-02-22,مشهد,6
2016-02-23,اصفهان,2
2016-02-23,تهران,14
2016-02-23,رامسر,1
2016-02-23,شیراز,4
2016-02-23,قشم,6
2016-02-23,قم,3
2016-02-23,مشهد,1
2016-02-24,اصفهان,4
2016-02-24,تهران,32
2016-02-24,یزد,3
2016-02-24,شیراز,2
2016-02-24,قشم,2
2016-02-24,کرمان,7
2016-02-24,کیش,11
2016-02-24,گرگان,6
2016-02-24,مشهد,15
2016-02-25,اصفهان,2
2016-02-25,تهران,2
2016-02-25,شیراز,3
2016-02-26,شیراز,3
2016-02-27,بندر عباس,5
2016-02-27,تهران,9
2016-02-27,شیراز,3
2016-02-27,کیش,4
2016-02-28,ارومیه,7
2016-02-28,اصفهان,30
2016-02-28,تهران,29
2016-02-28,رودسر,3
2016-02-28,شیراز,19
2016-02-28,کاشان,18
2016-02-28,کرمانشاه,3
2016-02-28,مشهد,3
2016-02-29,تهران,8
2016-02-29,شیراز,10
2016-02-29,قشم,3
2016-02-29,کیش,3
2016-03-01,بندر عباس,2
2016-03-01,تهران,4
2016-03-01,شیراز,14
2016-03-01,کیش,6
2016-03-02,اسکو,2
2016-03-02,تهران,4
2016-03-02,شیراز,6
2016-03-03,آبادان,2
2016-03-03,اصفهان,1
2016-03-03,تبریز,3
2016-03-03,تهران,12
2016-03-03,شیراز,6
2016-03-03,قشم,2
2016-03-03,مشهد,2
2016-03-04,سرعین,1
2016-03-04,سنندج,1
2016-03-05,ارومیه,3
2016-03-05,تبریز,6
2016-03-05,تهران,31
2016-03-05,رشت,2
2016-03-05,یزد,1
2016-03-05,قشم,3
2016-03-05,کاشان,1
2016-03-05,کیش,8
2016-03-05,مشهد,7
2016-03-05,نیشابور,2
2016-03-06,اصفهان,13
2016-03-06,بندر عباس,1
2016-03-06,تبریز,2
2016-03-06,تهران,5
2016-03-06,رامسر,2
2016-03-06,یزد,1
2016-03-06,شیراز,5
2016-03-06,قشم,3
2016-03-06,کیش,1
2016-03-06,مشهد,5
2016-03-07,ابیانه,1
2016-03-07,اصفهان,16
2016-03-07,بندر عباس,1
2016-03-07,تبریز,1
2016-03-07,تهران,16
2016-03-07,رامسر,3
2016-03-07,یزد,4
2016-03-07,شیراز,9
2016-03-07,کیش,3
2016-03-07,مشهد,3
2016-03-08,اصفهان,3
2016-03-08,بسطام,1
2016-03-08,تهران,3
2016-03-08,رامسر,10
2016-03-08,شیراز,1
2016-03-09,ایلام,1
2016-03-09,تهران,77
2016-03-09,قشم,4
2016-03-09,قم,1
2016-03-09,کاشان,2
2016-03-09,کیش,4
2016-03-09,ماهان,2
2016-03-10,اصفهان,9
2016-03-10,اهواز,6
2016-03-10,تهران,3
2016-03-10,رامسر,2
2016-03-10,یزد,4
2016-03-10,مشهد,3
2016-03-11,اهواز,1
2016-03-11,تهران,1
2016-03-12,اصفهان,14
2016-03-12,تهران,6
2016-03-12,یزد,5
2016-03-12,شیراز,9
2016-03-12,قشم,3
2016-03-12,مشهد,10
2016-03-13,تهران,1
2016-03-14,اصفهان,1
2016-03-14,الیگودرز,12
2016-03-14,شیراز,9
2016-03-15,اصفهان,1
2016-03-15,تهران,1
2016-03-16,آباده,2
2016-03-16,ابیانه,1
2016-03-16,اصفهان,9
2016-03-16,تهران,6
2016-03-16,رودسر,2
2016-03-16,شیراز,8
2016-03-16,کاشان,1
2016-03-16,کرمان,1
2016-03-16,کیش,5
2016-03-16,مشهد,9
2016-03-17,اصفهان,1
2016-03-17,بندر عباس,2
2016-03-17,تهران,3
2016-03-17,رودسر,1
2016-03-17,سرعین,1
2016-03-17,شیراز,2
2016-03-18,اصفهان,2
2016-03-19,اصفهان,6
2016-03-19,یزد,2
2016-03-19,شهرکرد,4
2016-03-19,مشهد,4
2016-03-21,تهران,1
2016-03-21,کیش,5
2016-03-22,اصفهان,4
2016-03-22,رامسر,1
2016-03-22,شیراز,4
2016-03-23,اصفهان,3
2016-03-24,تهران,1
2016-03-24,مشهد,6
2016-03-24,همدان,4
2016-03-25,اصفهان,1
2016-03-25,تهران,2
2016-03-25,یزد,3
2016-03-25,کاشان,1
2016-03-26,تهران,1
2016-03-26,مشهد,3
2016-03-27,تهران,2
2016-03-27,شیراز,4
2016-03-28,شیراز,1
2016-03-28,قشم,1
2016-03-28,مشهد,2
2016-03-29,اصفهان,2
2016-03-30,تهران,1
2016-03-30,شیراز,3
2016-03-30,کیش,3
2016-03-31,شیراز,5
2016-03-31,نوشهر,1
2016-04-01,اصفهان,3
2016-04-01,شیراز,2
2016-04-02,یزد,2
2016-04-02,کاشان,2
2016-04-03,یاسوج,3
2016-04-03,اصفهان,7
2016-04-03,اهواز,1
2016-04-03,تهران,10
2016-04-03,خوزستان,1
2016-04-03,یزد,3
2016-04-03,شیراز,6
2016-04-03,شهرکرد,0
2016-04-03,شوشتر,3
2016-04-03,کازرون,1
2016-04-03,کاشان,3
2016-04-03,کرمانشاه,1
2016-04-03,ماهشهر,1
2016-04-04,اسکو,3
2016-04-04,اصفهان,11
2016-04-04,تهران,12
