hotel_id,hotel_name_fa,city_id,city_name_fa,province_name_en
619,خونه نقلی 2 (خانه دوست),6984,کاشان,Esfahan
2643,برج ساعت,6861,بابلسر,Mazandaran
2482,پاتاق,6745,کرمانشاه,Kermanshah
2498,بهار نارنج حافظ,6640,شیراز,Fars
848,انا,6918,کیش,Hormozgan
452,کوروش,6745,کرمانشاه,Kermanshah
2508,کاخ سرهنگ,6326,اصفهان,Esfahan
2604,رونیا,6433,تهران,Tehran
1657,قاراپاپاق,7305,نقده,West Azerbaijan
2161,دیلمای,7379,سیاهکل,Gilan
385,صحت,6985,سرعین,Ardabil
1180,کاوه,7107,ساوه,Markazi
1129,باغ ایران زمین,6931,قشم,Hormozgan
1855,هرموز,7020,جزیره هرمز,Hormozgan
1403,پاسارگاد,6326,اصفهان,Esfahan
2483,سرای معلم,6319,نطنز,Esfahan
480,آپادانا,6865,نوشهر,Mazandaran
1900,ماهور,6861,بابلسر,Mazandaran
1682,هتل آذربایجان (اسنپ‌روم),6220,تبریز,East Azarbaijan
1231,الوند 1,6931,قشم,Hormozgan
1604,سپید کنار متین,6800,بندر انزلی,Gilan
1833,پاک,6220,تبریز,East Azarbaijan
2634,ارکیده,6800,بندر انزلی,Gilan
1686,بوم قلعه آریز,6971,بافق,Yazd
1602,عمو مشهدی رضا,7298,ورامین,Tehran
1166,صدف,6987,محمودآباد,Mazandaran
2512,عمارت ماندگار,6984,کاشان,Esfahan
2112,وستا,6967,میبد,Yazd
964,مرصاد,6497,مشهد,Razavi Khorasan
2052,رضا,6871,بابل,Mazandaran
569,پارک نو,6541,اهواز,Khuzestan
169,سیمرغ,6497,مشهد,Razavi Khorasan
2137,چویل,7370,ممسنی,Fars
2084,رضوی,6760,یاسوج,Kohgiluyeh Va Buyer Ahmad
2397,شاپور خواست,6839,خرم‌آباد,Lorestan
1721,کندوج,6858,تنکابن,Mazandaran
1156,روناش,7080,دزفول,Khuzestan
255,آذین,6782,گرگان,Golestan
1993,شمس آذین,6931,قشم,Hormozgan
214,پارسیان,6745,کرمانشاه,Kermanshah
1824,کاسپین,6800,بندر انزلی,Gilan
953,آراد,6497,مشهد,Razavi Khorasan
1620,لوتوس,6640,شیراز,Fars
614,انقلاب,6497,مشهد,Razavi Khorasan
560,پارسیان,6549,آبادان,Khuzestan
1661,مهمانسرا گلها (اسنپ روم),6433,تهران,Tehran
2046,ایزد,6497,مشهد,Razavi Khorasan
401,کوثر,6984,کاشان,Esfahan
956,پردیس,6814,رشت,Gilan
875,فولتون,6931,قشم,Hormozgan
1746,تخت طاووس,6497,مشهد,Razavi Khorasan
558,آزادگان,6745,کرمانشاه,Kermanshah
105,سنتی مظفر,6969,یزد,Yazd
1974,باغ هنر,6931,قشم,Hormozgan
398,جهانگردی ناهارخوران,6782,گرگان,Golestan
2303,یزدان گرد,6969,یزد,Yazd
1949,آریکان,6497,مشهد,Razavi Khorasan
713,یه تا,7154,خور,Esfahan
693,آرسان,6497,مشهد,Razavi Khorasan
366,خانه ایرانی,6984,کاشان,Esfahan
645,تاج,6497,مشهد,Razavi Khorasan
292,بهشت افرا,6861,بابلسر,Mazandaran
1537,داوینکو,6681,بانه,Kordestan
2207,سمسمو,7392,پارسیان,Hormozgan
2300,کوثر,6288,اردبیل,Ardabil
1293,خانه توسلیان,6319,نطنز,Esfahan
2380,هانی,6931,قشم,Hormozgan
2070,پاپیلا,7327,ایذه,Khuzestan
1480,سنتی خالو میرزا,7158,عقدا,Yazd
1294,مان همیشه سبز,6390,بندر بوشهر,Bushehr
439,ارشاد,6985,سرعین,Ardabil
400,پارسیان خزر,6864,چالوس,Mazandaran
1173,راه کربلا,6745,کرمانشاه,Kermanshah
1508,کزج,7261,هشجین,Ardabil
257,پارسیان بوعلی,6956,همدان,Hamedan
2288,الماس,6326,اصفهان,Esfahan
1981,سفرا,6497,مشهد,Razavi Khorasan
103,باغ مشیرالممالک,6969,یزد,Yazd
115,بهجت,6967,میبد,Yazd
2267,دورانتاش,7406,شوش,Khuzestan
1812,ریتون,6640,شیراز,Fars
721,سنگی اورامان,7308,سروآباد,Kordestan
1089,نصیرالملک,6640,شیراز,Fars
2496,گلابتون,6969,یزد,Yazd
1513,آفرین,6497,مشهد,Razavi Khorasan
1831,بیستون,6985,سرعین,Ardabil
